position_key	move_uci	probability	observations
rnbqkbnr/pppppppp/8/8/3P4/8/PPP1PPPP/RNBQKBNR b KQkq -	e7e5	1.000000	35
rnbqkbnr/pppp1ppp/8/4P3/8/8/PPP1PPPP/RNBQKBNR b KQkq -	b8c6	1.000000	20
r1bqkbnr/pppp1ppp/2n5/4P3/5P2/8/PPP1P1PP/RNBQKBNR b KQkq -	d8e7	0.333333	3
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq -	e2e4	0.994505	182
rnbqkbnr/pppp1ppp/8/4p3/4P3/8/PPPP1PPP/RNBQKBNR w KQkq -	g1f3	0.989691	97
r1bqkbnr/pppp1ppp/2n5/4p3/4P3/5N2/PPPP1PPP/RNBQKB1R w KQkq -	f1c4	1.000000	68
r1bqk1nr/pppp1ppp/2n5/2b1p3/2B1P3/5N2/PPPP1PPP/RNBQK2R w KQkq -	b2b4	1.000000	23
r1bqk1nr/pppp1ppp/8/2b1p3/1nB1P3/5N2/P1PP1PPP/RNBQK2R w KQkq -	c2c3	1.000000	3
r1bqk1nr/pppp1ppp/2n5/2b1p3/2B1P3/2P2N2/P2P1PPP/RNBQK2R w KQkq -	d2d4	1.000000	9
r1bqk1nr/pppp1ppp/2n5/2b5/2BpP3/2P2N2/P4PPP/RNBQK2R w KQkq -	e1g1	1.000000	8
r1bqk2r/pppp1ppp/2n2n2/2b5/2BpP3/2P2N2/P4PPP/RNBQ1RK1 w kq -	c3d4	0.666667	3
rnbqkbnr/pppp1ppp/8/4p3/3P4/5N2/PPP1PPPP/RNBQKB1R b KQkq -	e5e4	0.500000	4
r1bqkb1r/pppp1ppp/2n2n2/4p3/2B1P3/5N2/PPPP1PPP/RNBQK2R w KQkq -	f3g5	1.000000	19
r1bqkb1r/ppp2ppp/2n2n2/3pp1N1/2B1P3/8/PPPP1PPP/RNBQK2R w KQkq -	e4d5	1.000000	16
r1bqkb1r/ppp2ppp/2n5/3np1N1/2B5/8/PPPP1PPP/RNBQK2R w KQkq -	g5f7	1.000000	5
r1bq1b1r/ppp2kpp/2n5/3np3/2B5/8/PPPP1PPP/RNBQK2R w KQ -	d1f3	1.000000	4
r1bqkb1r/ppp3pp/2n5/3np3/2B5/5Q2/PPPP1PPP/RNB1K2R w KQ -	c4d5	1.000000	2
rnbqkbnr/ppp1pppp/8/3p4/4P3/8/PPPP1PPP/RNBQKBNR w KQkq -	e4d5	0.684211	19
rnb1kbnr/ppp1pppp/8/3q4/8/8/PPPP1PPP/RNBQKBNR w KQkq -	b1c3	1.000000	8
rnbqkbnr/ppp1pppp/8/8/8/2N5/PPPP1PPP/R1BQKBNR w KQkq -	d2d4	0.500000	4
rnbqkb1r/ppp1pppp/5n2/8/3P4/2N5/PPP2PPP/R1BQKBNR w KQkq -	c1f4	0.500000	2
rnbqkbnr/pppppppp/8/8/4P3/8/PPPP1PPP/RNBQKBNR b KQkq -	e7e5	0.973684	114
rnbqkbnr/pppp1ppp/8/4p3/4P3/5N2/PPPP1PPP/RNBQKB1R b KQkq -	g8f6	1.000000	64
rnbqkb1r/pppp1ppp/5n2/4p3/4P3/2N2N2/PPPP1PPP/R1BQKB1R b KQkq -	f8c5	0.636364	22
rnbqk2r/pppp1ppp/5n2/2b1N3/4P3/2N5/PPPP1PPP/R1BQKB1R b KQkq -	b8c6	1.000000	4
r1bqk2r/pppp1ppp/2N2n2/2b5/4P3/2N5/PPPP1PPP/R1BQKB1R b KQkq -	d7c6	1.000000	4
r1bqk2r/ppp2ppp/2p2n2/2b5/2B1P3/2N5/PPPP1PPP/R1BQK2R b KQkq -	f6g4	1.000000	2
r1bqk2r/ppp2ppp/2p5/2b5/2B1P1n1/2N5/PPPP1PPP/R1BQ1RK1 b kq -	d8h4	1.000000	2
rnbqkbnr/pppp1ppp/8/4p2Q/4P3/8/PPPP1PPP/RNB1KBNR b KQkq -	b8c6	1.000000	2
r1bqkbnr/pppp1ppp/2n5/4p2Q/2B1P3/8/PPPP1PPP/RNB1K1NR b KQkq -	g7g6	1.000000	2
r1bqkbnr/pppp1p1p/2n3p1/4p3/2B1P3/5Q2/PPPP1PPP/RNB1K1NR b KQkq -	g8f6	1.000000	2
rnbqk2r/pppp1ppp/5n2/2b1p3/4P3/2N2N1P/PPPP1PP1/R1BQKB1R b KQkq -	d7d6	0.500000	2
rnbqk2r/ppp2ppp/3p1n2/2b1p3/2B1P3/2N2N1P/PPPP1PP1/R1BQK2R b KQkq -	a7a6	0.500000	2
r1bqkbnr/pppp1ppp/8/4p3/2BnP3/5N2/PPPP1PPP/RNBQK2R w KQkq -	f3d4	1.000000	3
r1bqkbnr/pppp1ppp/8/8/2BpP3/8/PPPP1PPP/RNBQK2R w KQkq -	d2d3	0.666667	3
rnbqkbnr/pppp1ppp/8/4p3/3PP3/8/PPP2PPP/RNBQKBNR b KQkq -	e5d4	0.833333	12
